image_id,cultural_precision,hallucination_score,suppression_accuracy,human_appropriateness,esn_usefulness,composite_score
img_001,0.75,0.1,0.9,1.0,0.3,0.81
img_002,0.5,0.2,0.8,1.0,0.2,0.68
img_003,1.0,0.0,1.0,1.0,0.4,0.94
img_004,1.0,0.0,1.0,1.0,0.4,0.94
img_005,1.0,0.0,1.0,1.0,0.4,0.94
img_006,0.5,0.2,0.8,1.0,0.2,0.68
img_007,0.5,0.2,0.8,1.0,0.2,0.68
img_008,1.0,0.0,1.0,1.0,0.4,0.94
img_009,1.0,0.0,1.0,1.0,0.4,0.94
img_010,1.0,0.0,1.0,1.0,0.4,0.94
img_011,1.0,0.0,1.0,1.0,0.4,0.94
img_012,1.0,0.0,1.0,1.0,0.4,0.94
img_013,1.0,0.0,1.0,1.0,0.4,0.94
img_014,1.0,0.0,1.0,1.0,0.4,0.94
img_015,1.0,0.0,1.0,1.0,0.4,0.94
img_016,1.0,0.0,1.0,1.0,0.4,0.94
